AverageTemperature,AverageTemperatureUncertainty,City,Year,Month,Day
27.238,0.961,Acapulco,1878,5,1
28.515,1.295,Acapulco,1878,6,1
27.997,0.991,Acapulco,1878,7,1
27.255,0.82,Acapulco,1878,8,1
26.984,1.002,Acapulco,1878,9,1
27.031,0.704,Acapulco,1878,10,1
26.864,1.009,Acapulco,1878,11,1
25.395,1.079,Acapulco,1878,12,1
25.23,0.971,Acapulco,1879,1,1
23.667,0.943,Acapulco,1879,2,1
23.518,0.989,Acapulco,1879,3,1
24.489,0.99,Acapulco,1879,4,1
26.121,1.484,Acapulco,1879,5,1
26.658,1.4,Acapulco,1879,6,1
27.48,1.193,Acapulco,1879,7,1
26.999,1.068,Acapulco,1879,8,1
26.261,0.793,Acapulco,1879,9,1
26.13,0.979,Acapulco,1879,10,1
25.982,0.832,Acapulco,1879,11,1
25.846,1.192,Acapulco,1879,12,1
24.405,1.475,Acapulco,1880,1,1
24.106,1.151,Acapulco,1880,2,1
24.542,1.257,Acapulco,1880,3,1
24.302,0.924,Acapulco,1880,4,1
26.585,1.116,Acapulco,1880,5,1
27.021,0.857,Acapulco,1880,6,1
27.314,0.761,Acapulco,1880,7,1
27.038,0.97,Acapulco,1880,8,1
26.512,0.866,Acapulco,1880,9,1
26.259,0.847,Acapulco,1880,10,1
27.029,1.805,Acapulco,1880,11,1
25.416,0.862,Acapulco,1880,12,1
23.963,0.985,Acapulco,1881,1,1
23.75,1.057,Acapulco,1881,2,1
24.281,1.168,Acapulco,1881,3,1
24.798,0.964,Acapulco,1881,4,1
26.257,1.058,Acapulco,1881,5,1
27.09,1.289,Acapulco,1881,6,1
27.613,0.727,Acapulco,1881,7,1
27.176,0.914,Acapulco,1881,8,1
26.731,0.93,Acapulco,1881,9,1
26.876,0.672,Acapulco,1881,10,1
26.936,1.263,Acapulco,1881,11,1
25.595,1.483,Acapulco,1881,12,1
25.075,1.107,Acapulco,1882,1,1
24.722,1.319,Acapulco,1882,2,1
